Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
01 - Albany,01 - Albany,RENSSELAER,EAST GREENBUSH-TOWN,107 L5,US 004,NY 151,Route 4 @ Route 151 roundabout lighting L5 (NEE) 250W (also 8),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4719380.202,606448.763
01 - Albany,01 - Albany,RENSSELAER,EAST GREENBUSH-TOWN,108 L6,US 004,Mannix Rd,Route 4 @  Mannix Rd roundabout lighting L6 (SSW) 400W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720612.072,606486.7196
01 - Albany,01 - Albany,RENSSELAER,GRAFTON-TOWN,11B,NY 002,Grafton Elem,Rte 2 @ GRAFFTON ELEMENTARY SCHOOL SSL 45,BEACON,STANDARD,NO RESPONSE,PRIVATE ( PERMIT ),4736625.23,628383.919
01 - Albany,01 - Albany,RENSSELAER,AVERILL PARK-HAMLET,14,NY 043,CR 045,Rte 43 @ CR 45 (Old Rte 66),FLASHER,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721262.862,618503.4855
01 - Albany,01 - Albany,RENSSELAER,POESTENKILL-TOWN,58,NY 351,NY 355,Rte 351 @ Rte 355 & CR 40,FLASHER,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727403.075,617599.4037
01 - Albany,01 - Albany,SARATOGA,ROUND LAKE-VILLAGE,136 L2,US 009,NY 067,Rte 67 @ Luther Forest Bvld.  roundabout lighting L2 (NE) (also L3),STREET LIGHT,ROUND ABOUT,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4755511.958,599408.3369
01 - Albany,01 - Albany,SARATOGA,STILLWATER-TOWN,3N,CR 125,Stillwater Br Rd,CR 125 @ STILLWATER BR. BIN 4029210 NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4754815.731,610086.0496
01 - Albany,01 - Albany,SARATOGA,MALTA-TOWN,86 L5,NY 067,I 087 SB,Rte 67 @ I-Rte 87 EXIT 12 SB Ramp roundabout lighting L5 (SW) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758184.858,597585.3157
01 - Albany,01 - Albany,SARATOGA,MALTA-TOWN,87 L11,I 087 NB,NY 067,Rte 67 @ I-Rte 87 EXIT 12 NB Ramproundabout lighting L11 (NE) 400W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758251.041,597816.2192
01 - Albany,01 - Albany,SCHENECTADY,SCOTIA-VILLAGE,111 L16,NY 005,NY 005,"Rte 5 @ Western Gateway Bridge, BRIDGE LIGHTING L16 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4741274.054,585419.3375
01 - Albany,01 - Albany,SCHENECTADY,ROTTERDAM-TOWN,36 L1,NY 007,NY 146,Rte 7 (Curry Rd) @ RTE 146 (Hamburg St) ROUND ABOUT LIGHTING L1 (SW) 250W,STREET LIGHT,ROUND ABOUT,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735281.17,586816.5471
01 - Albany,01 - Albany,SCHENECTADY,ROTTERDAM-TOWN,76,NY 159,NY 337,Rte 159 @ Rte 337,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4738471.65,581272.03
01 - Albany,01 - Albany,RENSSELAER,EAST GREENBUSH-TOWN,5,US 004,US 009,Rte 4 @ Rte 9 & Rte 20 (Columbia Tpk),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717065.01,605835.1
01 - Albany,01 - Albany,RENSSELAER,TROY-CITY,26,NY 378,Morrison,Rte 378 @ MORRISON & STOWE AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728590.449,606735.6995
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L83,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L83 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,RENSSELAER,EAST GREENBUSH-TOWN,82,NY 151,CR 59,Rte 151 (Red Mill RD) @ CR 59 ( Sherwood Ave),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720188.09,604460.8079
01 - Albany,01 - Albany,RENSSELAER,SCHAGHTICOKE-TOWN,9B,NY 067,Hoosick Valley School,Rte 67 @ HOOSICK VALLEY CENTRAL SCHOOL,BEACON,STANDARD,SELECTIVE RESPONSE 3,PRIVATE ( PERMIT ),4751506.169,615882.9881
01 - Albany,01 - Albany,SARATOGA,MALTA-TOWN,101 L1,NY 067,State Farm Ins,Rte 67 @ STATE FARM roundabout lighting L1 (SW) 250W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758144.305,597289.338
01 - Albany,01 - Albany,SCHENECTADY,GLENVILLE-TOWN,110P,NY 050,Target Drwy,Rte 50 @ Target Driveway,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4746727.684,587173.4649
01 - Albany,01 - Albany,SCHENECTADY,SCHENECTADY-CITY,7A,NY 005,Broadway,Rte 5 (State St) @ BROADWAY & NOTT TERRACE & ARMORY PL,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,LOCAL PUBLIC BODY ( PERMIT ),4740293.269,586827.5366
01 - Albany,01 - Albany,WARREN,LAKE GEORGE-TOWN,63,US 009,Ped Xing,Rte 9 @ Ped X-ing     ***not built yet ****,3-COLOR SIGNAL,PEDESTRIAN,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4806617.27,604512.2199
01 - Albany,01 - Albany,SCHENECTADY,GLENVILLE-TOWN,16B,NY 147,Scotia-Glenville HS,Rte 147 @ SCOTIA-GLENVILLE H.S.  speed limit 20 MPH,BEACON,SIGN,SELECTIVE RESPONSE 3,PRIVATE ( PERMIT ),4743018.39,584075.3501
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,264 L1S,NY 002,NY 007,"Rte 2 & Rte 7 @ Rte I87 EXIT 6, BRIDGE LIGHTING L1 S side",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734257.778,600521.1298
01 - Albany,01 - Albany,RENSSELAER,BRUNSWICK-TOWN,109,NY 007,Lord Ave,Rte 7 @ LORD AVE. & ALDI'S,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733218.69,610840.52
01 - Albany,01 - Albany,RENSSELAER,SCHAGHTICOKE-TOWN,90,NY 040,NY 067,Rte 40 @ Rte 67 & E. SCHAGTICOKE RD.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4749336.15,614633.8498
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,217,NY 155,Wormer Rd,Rte 155 @ WORMER RD.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724783.008,589060.3698
01 - Albany,01 - Albany,GREENE,WINDHAM-TOWN,8B,NY 023,Windham School,Rte 23 @ WHINDHAM SCHOOL SPEED LIMIT,BEACON,SCHOOL,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4684166.58,561513.3747
01 - Albany,01 - Albany,WASHINGTON,FORT EDWARD-VILLAGE,35,US 004,Price Chopper Drive,Rte 4 @ Price Chopper & gas station,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4793350.941,614677.3564
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,89155,NY 910F,NY 020,Rte 910F @ Rte 20 ITS CAMERA,ITS LOCATIONS,ITS CAMERA LOCATION,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735219.194,601813.758
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,210,US 009,Orange St,US Rte 9 (Broadway) @ ORANGE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723040.026,602528.9021
01 - Albany,01 - Albany,SARATOGA,STILLWATER-VILLAGE,11B1,NY 009N,Stillwater Central School,Rte 4 & 32 @ STILLWATER CENTRAL SCHOOL SSL 20 NB,BEACON,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4756126.503,610744.2262
01 - Albany,01 - Albany,GREENE,CAIRO-TOWN,33,NY 023,Ross Ruland Rd,Rte 23 @ ROSS RULAND RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4680807.881,585826.1389
01 - Albany,01 - Albany,GREENE,CAIRO-TOWN,30,NY 023,CR 23B,Rte 23 @ CR 23B (Old Rte 23),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4682466.751,584042.5797
01 - Albany,01 - Albany,GREENE,CAIRO-TOWN,13,NY 032,CR 23B,Rte 32 @ CR 23B (East Main St),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4682848.848,583340.9903
01 - Albany,01 - Albany,GREENE,CATSKILL-TOWN,15,US 009W,NY 023A,US Rte 9W @ Rte 23A,FLASHER,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4674131.45,591776.1097
01 - Albany,01 - Albany,GREENE,CATSKILL-TOWN,18,NY 023,NY 385,Rte 23 @ Rte 385,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4675599.19,593916.9098
01 - Albany,01 - Albany,GREENE,HUNTER-TOWN,3,NY 023A,Bridge St,Rte 23A @ BRIDGE ST,FLASHER,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4673786.45,564455.5089
01 - Albany,01 - Albany,RENSSELAER,SCHODACK-TOWN,10B,NY 150,Castleton Elem,Rte 150 @ CASTLETON ELEMENTARY SCHOOL,BEACON,STANDARD,SELECTIVE RESPONSE 3,PRIVATE ( PERMIT ),4709513.829,603097.7825
01 - Albany,01 - Albany,SARATOGA,HALFMOON-TOWN,45,US 009,CR 94,Rte 9 @ CR 94 (Guideboard Rd) & CR 91 (Grooms Rd),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4743582.661,602790.8287
01 - Albany,01 - Albany,WARREN,WARRENSBURGH-TOWN,3,US 009,Adirondack Ave,Rte 9 @ ADIRONDACK AVE & HUDSON ST & ELM ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4816693.559,598969.7397
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,1N,US 009,Dunn Br Nav Lights,Rte 9&20 @ DUNN BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721941.769,602660.5363
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,197,NY 007,CHP,Rte 7 @ CHP,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4736113.859,596328.2993
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,230,Forts Ferry Rd,Wade Rd Ext.,FORTS FERRY RD @ WADE ROAD EXT.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734603.119,600237.6382
01 - Albany,01 - Albany,SCHENECTADY,NISKAYUNA-TOWN,13,NY 146,NY 146,Rte 146 & BALLTOWN RD @ Rte 146 (Union Rd),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4739094.15,590500.77
01 - Albany,01 - Albany,SARATOGA,SCHUYLERVILLE-VILLAGE,5N,US 004,Schuylerville Br Nav Lights,Rte 4 @ SCHUYLERVILLE BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4776073.608,614912.1679
01 - Albany,01 - Albany,SARATOGA,CLIFTON PARK-TOWN,133,I 087,NY 146,I-Rte I87 Exit 9E SB Ramp @ Rte 146,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4746256.631,599896.4695
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,101 L2,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L2 (SE) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721124.604,593802.919
01 - Albany,01 - Albany,SARATOGA,MALTA-TOWN,86 L7,NY 067,I 087 SB,Rte 67 @ I-Rte 87 EXIT 12 SB Ramp roundabout lighting L7 (NE) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758219.835,597623.501
01 - Albany,01 - Albany,WASHINGTON,COMSTOCK-HAMLET,7N,NY XXX,Ryder Br Nav lights,Rte XXX @ RYDER RD. BR. CANAL NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4815749.718,627188.7571
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,116,US 009W,McCarty Ave,US Rte 9W (Southern Blvd) @ MCCARTY AVE & PARKING LOT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721046.631,600367.7828
01 - Albany,01 - Albany,SARATOGA,ROUND LAKE-VILLAGE,137 L6,US 009,NY 067,Rte 9 & 67 @ Stonebreak Rd.  roundabout lighting L6 (SW) (also L9),STREET LIGHT,ROUND ABOUT,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4757430.56,598565.3301
01 - Albany,01 - Albany,ALBANY,TROY-CITY,5N,NY 007,Hoosick St Nav Lights,Rte 7 @ HOOSICK STREET BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4732793.203,607339.8356
01 - Albany,01 - Albany,SCHENECTADY,GLENVILLE-TOWN,74,NY 911F,Sunnyside Rd,FREEMAN'S BRIDGE RD (911F) @ SUNNYSIDE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4742857.59,587298.6799
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L14,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L14 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L82,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L82 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,43,US 009,Crumite Rd,US Rte 9 @ CRUMITE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727904.08,602049.2301
01 - Albany,01 - Albany,WASHINGTON,SALEM-VILLAGE,2,NY 022,East Broadway,Rte 22 @ EAST & WEST BROADWAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4781317.081,635941.5899
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,117 L18,NY 085,Blessing Rd,Rte 85 @ BLESSING RD roundabout lighting L18 (NW) 250W (also L19),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722485.87,594399.9047
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,237 L14,NY 085,Vista,Rte 85 @ MAHAR ROUND ABOUT LIGHTING L14 (SE) 400W (also L16),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721641.698,593752.2387
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,240 L1,NY 155,Old Wolf Rd,Route 155 @ Old Wolf Road roundabout lighting L1 (SW) 250W (also L3),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4732517.981,598975.7039
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,254 L26,NY 085,Blessing Rd,Rte 85 @ VISTA BLVD ROUNDABOUT LIGHTING L26 (NE) 400W (also L30),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722458.158,594469.8801
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,255,NY 378,Menands Bridge,Rte 378 @ Menands Bridge lighting Albany feed (14) 150 WATT fixtures,STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728590.449,606735.6995
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,258 L11,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L11 (NW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727643.068,595869.5627
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,258 L20,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L20 (SEEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727562.941,595947.7243
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,259 L6,NY 002,NY 002,"Rte 2, Congress St Bridge, BRIDGE LIGHTING L6 (S side) 250W (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731607.913,606401.3256
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L18,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L18 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L28,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L28 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L39,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L39 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L49,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L49 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L63,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L63 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
